	IWA ID	Category	Median Date	Median Data Value	Date Offset
164	4.A.1.a.1.I12	6	2008-06-01	16.13	2861 days 00:00:00.000000000
165	4.A.1.a.1.I12	6	2012-07-01	21.66	4352 days 00:00:00.000000000
166	4.A.1.a.1.I12	7	2008-06-01	10.0	2861 days 00:00:00.000000000
167	4.A.1.a.1.I12	7	2012-07-01	10.0	4352 days 00:00:00.000000000
168	4.A.1.a.1.I13	1	2008-06-01	6.25	2861 days 00:00:00.000000000
169	4.A.1.a.1.I13	1	2014-07-01	13.04	5082 days 00:00:00.000000000
170	4.A.1.a.1.I13	2	2008-06-01	20.0	2861 days 00:00:00.000000000
171	4.A.1.a.1.I13	2	2014-07-01	25.0	5082 days 00:00:00.000000000
172	4.A.1.a.1.I13	3	2008-06-01	25.81	2861 days 00:00:00.000000000
173	4.A.1.a.1.I13	3	2014-07-01	21.74	5082 days 00:00:00.000000000
174	4.A.1.a.1.I13	4	2008-06-01	16.67	2861 days 00:00:00.000000000
175	4.A.1.a.1.I13	4	2014-07-01	13.33	5082 days 00:00:00.000000000
176	4.A.1.a.1.I13	5	2008-06-01	22.58	2861 days 00:00:00.000000000
177	4.A.1.a.1.I13	5	2014-07-01	9.11	5082 days 00:00:00.000000000
178	4.A.1.a.1.I13	6	2008-06-01	3.12	2861 days 00:00:00.000000000
179	4.A.1.a.1.I13	6	2014-07-01	0.0	5082 days 00:00:00.000000000
180	4.A.1.a.1.I13	7	2008-06-01	0.0	2861 days 00:00:00.000000000
181	4.A.1.a.1.I13	7	2014-07-01	0.0	5082 days 00:00:00.000000000
182	4.A.1.a.1.I14	1	2006-06-01	0.11	2130 days 00:00:00.000000000
183	4.A.1.a.1.I14	1	2011-07-01	3.08	3986 days 00:00:00.000000000
184	4.A.1.a.1.I14	2	2006-06-01	8.96	2130 days 00:00:00.000000000
185	4.A.1.a.1.I14	2	2011-07-01	13.53	3986 days 00:00:00.000000000
186	4.A.1.a.1.I14	3	2006-06-01	14.23	2130 days 00:00:00.000000000
187	4.A.1.a.1.I14	3	2011-07-01	16.31	3986 days 00:00:00.000000000
188	4.A.1.a.1.I14	4	2006-06-01	11.09	2130 days 00:00:00.000000000
189	4.A.1.a.1.I14	4	2011-07-01	20.18	3986 days 00:00:00.000000000
190	4.A.1.a.1.I14	5	2006-06-01	13.01	2130 days 00:00:00.000000000
191	4.A.1.a.1.I14	5	2011-07-01	19.35	3986 days 00:00:00.000000000
192	4.A.1.a.1.I14	6	2006-06-01	11.58	2130 days 00:00:00.000000000
193	4.A.1.a.1.I14	6	2011-07-01	10.23	3986 days 00:00:00.000000000
194	4.A.1.a.1.I14	7	2006-06-01	9.93	2130 days 00:00:00.000000000
195	4.A.1.a.1.I14	7	2011-07-01	4.3	3986 days 00:00:00.000000000
196	4.A.1.a.1.I15	1	2007-06-01	4.1	2495 days 00:00:00.000000000
